SGV, Raw, SavitzkyGolay, LeastSquares, Flat, Hamming
66.0,61.6583886754,61.5600734549,112.828080202,61.0909274266,61.2097855232
69.0,64.0152328492,64.0327470954,113.402767051,61.9580071971,61.362090777
73.0,68.0116022061,68.354060283,113.978546568,63.4741152395,62.4836399346
78.0,73.7778455886,73.3591325553,114.555276046,66.0127469497,65.100487607
82.0,77.4489676089,77.2892436531,115.132815197,69.4257434016,69.1029329901
85.0,80.0449582671,80.3954505108,115.711026129,73.161223646,73.6332377892
89.0,84.4492537143,84.644817488,116.289773326,77.2820636814,77.538580222
93.0,89.4562139253,88.8494278402,116.868923622,81.4876526775,81.1020111169
95.0,91.5786215144,91.998326382,117.448346177,85.0337376664,85.1161475573
98.0,94.4084300891,94.1860691895,118.027912457,88.4233881911,89.005237324
100.0,96.6410364691,96.7989903797,118.607496208,91.710259579,92.0219034617
102.0,99.5660479698,99.4703200953,119.186973434,94.6874288433,94.6202653259
104.0,102.630276283,103.31858712,119.766222377,97.3732351689,97.2293728245
107.0,106.397358304,104.870773827,120.345123492,100.180295487,100.07274497
106.0,103.400637837,104.525657093,120.923559423,101.935730108,102.872394182
108.0,103.983610913,103.667784409,121.501414986,103.362862715,104.417810298
110.0,105.364548912,105.321807609,122.078577144,104.525574538,104.323111578
113.0,108.446365763,109.171648878,122.654934983,105.763109439,104.661292721
117.0,114.630623936,113.674539069,123.230379695,107.57073888,106.532668628
119.0,116.857249556,117.364245847,123.804804552,110.322278985,109.973327155
121.0,119.220492192,118.940528064,124.378104889,113.354459687,114.003842299
122.0,119.899644682,120.060640881,124.950178078,116.184719534,117.011530546
124.0,120.340248025,119.958663503,125.520923509,118.364222547,118.857914514
125.0,120.109554233,120.567038394,126.090242572,119.491122943,119.821795344
128.0,123.226634747,123.334264399,126.65803863,120.858823613,120.399030321
132.0,128.373245795,128.268830771,127.224217003,122.823380292,121.661226145
135.0,132.975464334,132.838995734,127.788684946,125.520124788,124.674110429
137.0,135.677542597,135.609642381,128.351351629,128.637353214,128.904213641
138.0,136.715866486,136.758297701,128.912128113,131.872281904,132.778892226
139.0,137.118991092,137.180765527,129.470927338,134.487753938,135.308980611
140.0,137.42044067,137.014222564,130.027664093,136.139043605,136.560218375
141.0,137.433037727,138.336486452,130.582255004,137.088717455,137.130083278
144.0,141.70881601,141.154706008,131.134618511,138.352270631,137.698439741
146.0,144.259574137,144.11119059,131.684674846,139.897163353,139.166220031
147.0,145.561727412,146.229765673,132.232346021,141.661910019,141.75223709
149.0,147.822832514,146.69877533,132.777555798,143.657759754,144.180945622
149.0,145.456666407,146.261424503,133.320229679,145.124176371,145.815062491
151.0,145.991006534,145.939120951,133.860294882,145.945019677,146.461054472
154.0,147.564785887,146.484620612,134.397680325,146.609629269,146.269185838
157.0,148.922269251,151.810247307,134.932316603,147.683869645,146.709501348
165.0,161.409649614,158.618101637,135.464135973,150.551136298,148.735989191
168.0,162.680042643,163.015330312,135.993072334,153.992825878,153.248229701
170.0,162.95462374,163.816736668,136.519061209,157.555333748,159.053838096
175.0,168.54287884,168.875021606,137.042039726,161.997063472,162.664711878
180.0,175.696309718,173.552319176,137.561946601,166.892502797,165.538629538
181.0,176.791419208,180.303335901,138.078722117,170.441418824,170.103469853
187.0,189.217933136,186.8768945,138.592308111,175.756233373,175.406108337
188.0,189.393215907,189.110079314,139.10264795,180.461347348,180.917125023
187.0,181.046749339,179.84813011,139.60968652,182.236013116,185.651162888
186.0,171.211275503,174.057948576,140.113370202,181.710940076,185.094646803
196.0,180.903427472,181.144421525,140.613646858,182.737079312,180.216445845
208.0,197.92865246,195.372634915,141.110465817,184.889956365,178.874128648
214.0,207.280800392,210.77125857,141.603777848,189.587475484,186.401281027
223.0,223.773925892,219.871565396,142.093535153,198.49316794,198.877958954
222.0,221.500071514,222.811456253,142.579691345,208.065358967,210.764895091
221.0,220.078818932,220.941892207,143.062201432,215.305767997,218.905668004
222.0,223.830261194,223.492864889,143.541021801,220.20999681,221.37961793
222.0,227.005303137,227.683390367,144.016110198,223.426212762,222.184890274
222.0,227.791139818,225.452365878,144.487425719,223.80259426,224.236420454
216.0,216.463948609,217.268791669,144.954928785,222.580181966,225.401535547
212.0,210.585602854,212.233226152,145.418581131,220.869917408,222.693806239
214.0,218.328140195,219.674744421,145.87834579,220.114426766,217.468360532
216.0,228.641326467,223.356255327,146.334187073,219.722620685,216.018318867
206.0,214.76454487,219.340073835,146.786070557,217.515690093,219.447768554
202.0,211.5963419,209.025749682,147.233963069,216.287150281,220.410750009
195.0,200.654092796,201.575344533,147.677832667,213.543378456,215.134012496
190.0,193.445415338,193.121460079,148.117648628,207.894170901,207.655765011
186.0,190.729990374,192.631352497,148.553381432,201.330266247,200.064517018
185.0,197.046976774,195.344713027,148.985002745,197.824292611,194.814652993
179.0,194.752975303,194.90082835,149.412485404,194.565777633,193.677694183
171.0,186.064330441,185.627374283,149.835803405,191.253705712,193.868755434
162.0,171.472434459,171.103605829,150.254931884,186.204037214,190.050004289
153.0,156.566501471,156.931982924,150.669847104,178.73490824,180.649875068
148.0,151.238746271,154.378463153,151.080526441,170.208688551,168.433965182
149.0,161.117433366,156.620968027,151.486948368,163.617484372,158.918943917
140.0,155.200796974,158.064846185,151.889092441,158.215467413,156.085320695
133.0,154.945833598,154.33183349,152.286939284,155.36354102,156.721233327
122.0,148.39563228,147.192969429,152.680470576,153.04203738,155.237886526
108.0,130.75661665,131.085200524,153.069669037,147.292885679,150.505108897
